"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Minneapolis-St. Paul-Bloomington, MN-WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","7811.0","3522.0","4289.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","978.0","403.0","575.0","-"
"25 to 34 years","2439.0","1017.0","1422.0","-"
"35 to 44 years","2232.0","1141.0","1091.0","-"
"45 to 54 years","1074.0","501.0","573.0","-"
"55 to 64 years","566.0","235.0","331.0","-"
"65 years and over","522.0","225.0","297.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2040.0","1045.0","995.0","-"
"Married","4791.0","2147.0","2644.0","-"
"Other","980.0","330.0","650.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","764.0","386.0","378.0","-"
"Service occupations","529.0","211.0","318.0","-"
"Sales and office occupations","374.0","116.0","258.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","44.0","D","D","-"
"Production, transportation, and material moving occupations","626.0","408.0","218.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","864.0","317.0","547.0","-"
"Homemakers","97.0","D","D","-"
"Students or children","608.0","257.0","351.0","-"
"Retirees","46.0","D","D","-"
"Unemployed","113.0","33.0","80.0","-"
"Unknown","4588.0","2021.0","2567.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","144.0","75.0","69.0","-"
"Cambodia","158.0","69.0","89.0","-"
"Canada","89.0","45.0","44.0","-"
"China","253.0","115.0","138.0","-"
"Ecuador","80.0","39.0","41.0","-"
"Ethiopia","657.0","328.0","329.0","-"
"Guyana","103.0","41.0","62.0","-"
"India","539.0","278.0","261.0","-"
"Kenya","88.0","55.0","33.0","-"
"Laos","561.0","263.0","298.0","-"
"Liberia","301.0","114.0","187.0","-"
"Mexico","318.0","153.0","165.0","-"
"Nigeria","204.0","100.0","104.0","-"
"Pakistan","91.0","58.0","33.0","-"
"Philippines","184.0","66.0","118.0","-"
"Russia","171.0","65.0","106.0","-"
"Somalia","1171.0","467.0","704.0","-"
"Thailand","170.0","60.0","110.0","-"
"Ukraine","165.0","81.0","84.0","-"
"Vietnam","516.0","198.0","318.0","-"
"Other","1841.0","848.0","993.0","-"
"Unknown","7.0","4.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
