"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Myrtle Beach-North Myrtle Beach-Conway, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","77.0","35.0","42.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","-","D","-"
"25 to 34 years","18.0","8.0","10.0","-"
"35 to 44 years","24.0","11.0","13.0","-"
"45 to 54 years","12.0","D","D","-"
"55 to 64 years","13.0","6.0","7.0","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","8.0","4.0","-"
"Married","53.0","22.0","31.0","-"
"Other","12.0","5.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","6.0","D","D","-"
"Service occupations","9.0","3.0","6.0","-"
"Sales and office occupations","14.0","6.0","8.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","-","7.0","-"
"Homemakers","D","-","D","-"
"Students or children","3.0","-","3.0","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","38.0","21.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","3.0","D","D","-"
"Bangladesh","D","D","D","-"
"Brazil","D","D","D","-"
"Cambodia","D","-","D","-"
"Canada","3.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","4.0","D","D","-"
"Honduras","D","-","D","-"
"India","3.0","D","D","-"
"Iran","D","D","D","-"
"Israel","3.0","3.0","-","-"
"Korea","4.0","D","D","-"
"Mexico","5.0","D","D","-"
"Morocco","5.0","D","D","-"
"Philippines","6.0","3.0","3.0","-"
"Poland","D","D","D","-"
"Romania","3.0","D","D","-"
"Thailand","3.0","-","3.0","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","3.0","D","D","-"
"Other","10.0","3.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
