"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Oshkosh-Neenah, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","111.0","49.0","62.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","6.0","11.0","-"
"25 to 34 years","35.0","18.0","17.0","-"
"35 to 44 years","26.0","11.0","15.0","-"
"45 to 54 years","15.0","5.0","10.0","-"
"55 to 64 years","11.0","5.0","6.0","-"
"65 years and over","7.0","4.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","10.0","7.0","-"
"Married","84.0","36.0","48.0","-"
"Other","10.0","3.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","12.0","8.0","4.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","9.0","3.0","6.0","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","74.0","30.0","44.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","D","-"
"Bosnia and Herzegovina","5.0","D","D","-"
"Brazil","D","D","-","-"
"Canada","6.0","D","D","-"
"Colombia","D","-","D","-"
"Croatia","D","D","-","-"
"Germany","D","D","D","-"
"Guinea","D","-","D","-"
"Honduras","D","D","-","-"
"India","7.0","3.0","4.0","-"
"Iran","4.0","D","D","-"
"Iraq","5.0","D","D","-"
"Korea","D","D","D","-"
"Laos","18.0","12.0","6.0","-"
"Mexico","19.0","8.0","11.0","-"
"Pakistan","D","-","D","-"
"Russia","D","-","D","-"
"Serbia and Montenegro","3.0","3.0","-","-"
"Thailand","13.0","3.0","10.0","-"
"Vietnam","D","-","D","-"
"Other","13.0","6.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
