"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Ottawa-Streator, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","66.0","28.0","38.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","4.0","D","D","-"
"25 to 34 years","22.0","12.0","10.0","-"
"35 to 44 years","19.0","D","D","-"
"45 to 54 years","5.0","D","D","-"
"55 to 64 years","8.0","5.0","3.0","-"
"65 years and over","8.0","5.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","7.0","D","D","-"
"Married","55.0","22.0","33.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","9.0","5.0","4.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","D","D","D","-"
"Students or children","D","D","-","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","44.0","17.0","27.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","-","D","-"
"Canada","D","-","D","-"
"China","3.0","D","D","-"
"El Salvador","D","-","D","-"
"Haiti","D","-","D","-"
"India","3.0","D","D","-"
"Laos","D","D","D","-"
"Lithuania","D","-","D","-"
"Macedonia","D","D","-","-"
"Mexico","46.0","21.0","25.0","-"
"Philippines","D","-","D","-"
"Serbia and Montenegro","D","-","D","-"
"Switzerland","D","D","-","-"
"Ukraine","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
