"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Panama City-Lynn Haven, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","107.0","42.0","65.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","12.0","D","D","-"
"25 to 34 years","24.0","13.0","11.0","-"
"35 to 44 years","31.0","8.0","23.0","-"
"45 to 54 years","22.0","8.0","14.0","-"
"55 to 64 years","13.0","4.0","9.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","11.0","7.0","-"
"Married","79.0","28.0","51.0","-"
"Other","10.0","3.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","5.0","6.0","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","5.0","D","D","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","4.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","77.0","31.0","46.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","-","-"
"Canada","6.0","D","D","-"
"Czechoslovakia (former)","D","-","D","-"
"Denmark","D","D","D","-"
"Egypt","D","D","D","-"
"Germany","3.0","D","D","-"
"Honduras","D","-","D","-"
"India","9.0","D","D","-"
"Iran","D","D","-","-"
"Korea","5.0","D","D","-"
"Lithuania","D","D","-","-"
"Mexico","5.0","D","D","-"
"Peru","D","D","D","-"
"Philippines","11.0","D","D","-"
"Poland","3.0","D","D","-"
"Russia","5.0","D","D","-"
"South Africa","D","D","-","-"
"Syria","5.0","D","D","-"
"United Kingdom","6.0","D","D","-"
"Vietnam","12.0","4.0","8.0","-"
"Other","19.0","7.0","12.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
