"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Barnstable Town, MA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","194.0","83.0","111.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","6.0","4.0","-"
"25 to 34 years","56.0","23.0","33.0","-"
"35 to 44 years","59.0","29.0","30.0","-"
"45 to 54 years","35.0","13.0","22.0","-"
"55 to 64 years","20.0","8.0","12.0","-"
"65 years and over","14.0","4.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28.0","17.0","11.0","-"
"Married","142.0","58.0","84.0","-"
"Other","24.0","8.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","D","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","-","5.0","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","170.0","71.0","99.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","49.0","16.0","33.0","-"
"Canada","11.0","3.0","8.0","-"
"Chile","3.0","-","3.0","-"
"China","3.0","D","D","-"
"Dominican Republic","12.0","5.0","7.0","-"
"El Salvador","3.0","D","D","-"
"Germany","5.0","D","D","-"
"Haiti","8.0","5.0","3.0","-"
"India","6.0","3.0","3.0","-"
"Ireland","12.0","7.0","5.0","-"
"Jamaica","7.0","3.0","4.0","-"
"Korea","3.0","D","D","-"
"Lebanon","6.0","D","D","-"
"Mexico","3.0","-","3.0","-"
"Philippines","5.0","D","D","-"
"Poland","4.0","D","D","-"
"Portugal","6.0","D","D","-"
"Sweden","6.0","D","D","-"
"United Kingdom","7.0","3.0","4.0","-"
"Vietnam","4.0","D","D","-"
"Other","31.0","16.0","15.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
