"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Santa Fe, NM","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","154.0","75.0","79.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","4.0","13.0","-"
"25 to 34 years","29.0","9.0","20.0","-"
"35 to 44 years","44.0","22.0","22.0","-"
"45 to 54 years","30.0","15.0","15.0","-"
"55 to 64 years","19.0","13.0","6.0","-"
"65 years and over","15.0","12.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","25.0","15.0","10.0","-"
"Married","111.0","54.0","57.0","-"
"Other","18.0","6.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","10.0","4.0","6.0","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","D","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","15.0","3.0","12.0","-"
"Homemakers","D","D","D","-"
"Students or children","8.0","-","8.0","-"
"Retirees","3.0","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","120.0","64.0","56.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","D","D","-","-"
"Argentina","D","D","-","-"
"Australia","4.0","D","D","-"
"Bhutan","D","D","-","-"
"Brazil","D","-","D","-"
"Canada","4.0","D","D","-"
"Chile","D","-","D","-"
"China","3.0","D","D","-"
"Czechoslovakia (former)","D","D","-","-"
"Ecuador","D","-","D","-"
"El Salvador","4.0","D","D","-"
"France","D","-","D","-"
"Germany","7.0","3.0","4.0","-"
"Guatemala","4.0","D","D","-"
"India","6.0","D","D","-"
"Japan","4.0","D","D","-"
"Mexico","80.0","41.0","39.0","-"
"New Zealand","D","D","D","-"
"Russia","3.0","D","D","-"
"United Kingdom","7.0","D","D","-"
"Other","15.0","4.0","11.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
