"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bend, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","73.0","33.0","40.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","9.0","5.0","4.0","-"
"35 to 44 years","25.0","11.0","14.0","-"
"45 to 54 years","17.0","9.0","8.0","-"
"55 to 64 years","10.0","5.0","5.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","10.0","6.0","4.0","-"
"Married","51.0","22.0","29.0","-"
"Other","12.0","5.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7.0","D","D","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","3.0","3.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","4.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","49.0","18.0","31.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","D","-","D","-"
"Brazil","D","-","D","-"
"Bulgaria","5.0","D","D","-"
"Canada","5.0","D","D","-"
"China","7.0","3.0","4.0","-"
"Colombia","D","-","D","-"
"El Salvador","D","D","-","-"
"France","D","-","D","-"
"Germany","6.0","D","D","-"
"Honduras","D","-","D","-"
"India","3.0","D","D","-"
"Italy","D","-","D","-"
"Korea","D","D","D","-"
"Latvia","D","D","-","-"
"Mexico","14.0","7.0","7.0","-"
"Moldova","D","-","D","-"
"Netherlands","D","D","-","-"
"Philippines","7.0","D","D","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","3.0","D","D","-"
"Other","6.0","3.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
