"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Binghamton, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","234.0","102.0","132.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","32.0","19.0","13.0","-"
"25 to 34 years","66.0","23.0","43.0","-"
"35 to 44 years","51.0","24.0","27.0","-"
"45 to 54 years","43.0","23.0","20.0","-"
"55 to 64 years","24.0","9.0","15.0","-"
"65 years and over","18.0","4.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","58.0","33.0","25.0","-"
"Married","155.0","66.0","89.0","-"
"Other","21.0","3.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","18.0","12.0","6.0","-"
"Service occupations","6.0","-","6.0","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","14.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","39.0","18.0","21.0","-"
"Homemakers","D","-","D","-"
"Students or children","24.0","14.0","10.0","-"
"Retirees","D","D","-","-"
"Unemployed","8.0","D","D","-"
"Unknown","153.0","61.0","92.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","6.0","D","D","-"
"Bosnia and Herzegovina","32.0","19.0","13.0","-"
"Canada","5.0","D","D","-"
"China","13.0","7.0","6.0","-"
"Congo, Republic of the","3.0","-","3.0","-"
"Ghana","3.0","D","D","-"
"Guyana","4.0","D","D","-"
"Haiti","6.0","D","D","-"
"India","11.0","5.0","6.0","-"
"Iraq","10.0","7.0","3.0","-"
"Jamaica","6.0","D","D","-"
"Korea","5.0","D","D","-"
"Laos","6.0","D","D","-"
"Mexico","5.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Russia","5.0","D","D","-"
"Somalia","4.0","D","D","-"
"Ukraine","24.0","9.0","15.0","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","20.0","5.0","15.0","-"
"Other","58.0","22.0","36.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
