"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Tucson, AZ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1828.0","763.0","1065.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","183.0","85.0","98.0","-"
"25 to 34 years","485.0","191.0","294.0","-"
"35 to 44 years","487.0","183.0","304.0","-"
"45 to 54 years","280.0","103.0","177.0","-"
"55 to 64 years","225.0","114.0","111.0","-"
"65 years and over","168.0","87.0","81.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","344.0","158.0","186.0","-"
"Married","1259.0","540.0","719.0","-"
"Other","225.0","65.0","160.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","157.0","82.0","75.0","-"
"Service occupations","99.0","24.0","75.0","-"
"Sales and office occupations","79.0","20.0","59.0","-"
"Farming, fishing, and forestry occupations","5.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","35.0","35.0","-","-"
"Production, transportation, and material moving occupations","62.0","D","D","-"
"Military","7.0","D","D","-"
"No occupation/not working outside home","238.0","84.0","154.0","-"
"Homemakers","42.0","-","42.0","-"
"Students or children","139.0","52.0","87.0","-"
"Retirees","45.0","26.0","19.0","-"
"Unemployed","12.0","6.0","6.0","-"
"Unknown","1146.0","463.0","683.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","11.0","D","D","-"
"Bosnia and Herzegovina","20.0","13.0","7.0","-"
"Brazil","15.0","5.0","10.0","-"
"Canada","32.0","16.0","16.0","-"
"China","29.0","11.0","18.0","-"
"Colombia","10.0","D","D","-"
"El Salvador","11.0","D","D","-"
"Germany","18.0","6.0","12.0","-"
"Guatemala","13.0","5.0","8.0","-"
"India","45.0","25.0","20.0","-"
"Iran","37.0","14.0","23.0","-"
"Iraq","11.0","5.0","6.0","-"
"Korea","23.0","11.0","12.0","-"
"Mexico","1004.0","425.0","579.0","-"
"Philippines","53.0","14.0","39.0","-"
"Russia","21.0","5.0","16.0","-"
"Sudan","18.0","D","D","-"
"Ukraine","25.0","11.0","14.0","-"
"United Kingdom","36.0","15.0","21.0","-"
"Vietnam","67.0","25.0","42.0","-"
"Other","328.0","133.0","195.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
