"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Vineland-Millville-Bridgeton, NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","123.0","62.0","61.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","20.0","9.0","11.0","-"
"25 to 34 years","30.0","14.0","16.0","-"
"35 to 44 years","23.0","13.0","10.0","-"
"45 to 54 years","20.0","11.0","9.0","-"
"55 to 64 years","22.0","10.0","12.0","-"
"65 years and over","8.0","5.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","30.0","13.0","17.0","-"
"Married","82.0","44.0","38.0","-"
"Other","11.0","5.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","5.0","6.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","7.0","7.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","11.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","-","7.0","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","88.0","46.0","42.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Bahamas, The","D","D","-","-"
"Brazil","D","-","D","-"
"China","D","D","D","-"
"Colombia","7.0","3.0","4.0","-"
"Cuba","D","D","-","-"
"Dominican Republic","17.0","8.0","9.0","-"
"Ecuador","D","-","D","-"
"Germany","3.0","D","D","-"
"India","18.0","9.0","9.0","-"
"Jamaica","11.0","5.0","6.0","-"
"Liberia","D","D","-","-"
"Mexico","21.0","11.0","10.0","-"
"Nigeria","D","D","-","-"
"Pakistan","4.0","D","D","-"
"Poland","D","D","D","-"
"Russia","3.0","-","3.0","-"
"Turkey","4.0","4.0","-","-"
"Ukraine","13.0","6.0","7.0","-"
"Uzbekistan","D","D","D","-"
"Other","7.0","5.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
