"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Walla Walla, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","73.0","28.0","45.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","22.0","9.0","13.0","-"
"35 to 44 years","22.0","8.0","14.0","-"
"45 to 54 years","7.0","D","D","-"
"55 to 64 years","9.0","3.0","6.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","7.0","D","D","-"
"Married","60.0","25.0","35.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","8.0","D","D","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","4.0","4.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","4.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","46.0","15.0","31.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Burma","D","-","D","-"
"Canada","5.0","D","D","-"
"Chile","D","-","D","-"
"El Salvador","D","D","-","-"
"India","D","-","D","-"
"Kazakhstan","D","-","D","-"
"Kenya","D","-","D","-"
"Lebanon","D","D","-","-"
"Mexico","42.0","17.0","25.0","-"
"Netherlands","D","-","D","-"
"Philippines","3.0","-","3.0","-"
"Russia","8.0","3.0","5.0","-"
"Serbia and Montenegro","D","D","D","-"
"Sweden","D","-","D","-"
"Trinidad and Tobago","D","D","-","-"
"Ukraine","D","D","D","-"
"United Kingdom","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
