"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Worthington, MN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","55.0","27.0","28.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","14.0","7.0","7.0","-"
"35 to 44 years","16.0","7.0","9.0","-"
"45 to 54 years","8.0","D","D","-"
"55 to 64 years","7.0","4.0","3.0","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","7.0","6.0","-"
"Married","34.0","15.0","19.0","-"
"Other","8.0","5.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","-","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","14.0","8.0","6.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","32.0","16.0","16.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","D","-","D","-"
"China","D","-","D","-"
"Eritrea","D","D","-","-"
"Ethiopia","3.0","D","D","-"
"Guatemala","D","D","-","-"
"India","D","-","D","-"
"Laos","5.0","D","D","-"
"Mexico","23.0","14.0","9.0","-"
"Nicaragua","5.0","D","D","-"
"Peru","D","-","D","-"
"Sudan","4.0","D","D","-"
"Taiwan","D","-","D","-"
"Thailand","D","D","D","-"
"Vietnam","6.0","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
