"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bradenton-Sarasota-Venice, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","975.0","428.0","547.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","69.0","30.0","39.0","-"
"25 to 34 years","215.0","81.0","134.0","-"
"35 to 44 years","264.0","126.0","138.0","-"
"45 to 54 years","192.0","76.0","116.0","-"
"55 to 64 years","144.0","68.0","76.0","-"
"65 years and over","91.0","47.0","44.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","149.0","71.0","78.0","-"
"Married","697.0","312.0","385.0","-"
"Other","129.0","45.0","84.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","109.0","48.0","61.0","-"
"Service occupations","24.0","13.0","11.0","-"
"Sales and office occupations","26.0","10.0","16.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","28.0","18.0","10.0","-"
"Military","3.0","3.0","-","-"
"No occupation/not working outside home","92.0","31.0","61.0","-"
"Homemakers","D","-","D","-"
"Students or children","44.0","D","D","-"
"Retirees","29.0","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","689.0","301.0","388.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","18.0","D","D","-"
"Bulgaria","17.0","7.0","10.0","-"
"Canada","63.0","24.0","39.0","-"
"China","20.0","8.0","12.0","-"
"Colombia","38.0","15.0","23.0","-"
"Cuba","60.0","35.0","25.0","-"
"Dominican Republic","16.0","9.0","7.0","-"
"Germany","30.0","11.0","19.0","-"
"Haiti","61.0","31.0","30.0","-"
"India","20.0","11.0","9.0","-"
"Jamaica","29.0","10.0","19.0","-"
"Mexico","102.0","65.0","37.0","-"
"Nicaragua","19.0","9.0","10.0","-"
"Peru","32.0","9.0","23.0","-"
"Philippines","22.0","5.0","17.0","-"
"Poland","19.0","5.0","14.0","-"
"Ukraine","15.0","8.0","7.0","-"
"United Kingdom","71.0","41.0","30.0","-"
"Venezuela","15.0","D","D","-"
"Vietnam","33.0","8.0","25.0","-"
"Other","275.0","111.0","164.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
