"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bridgeport-Stamford-Norwalk, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1625.0","738.0","887.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","160.0","76.0","84.0","-"
"25 to 34 years","428.0","184.0","244.0","-"
"35 to 44 years","527.0","264.0","263.0","-"
"45 to 54 years","266.0","115.0","151.0","-"
"55 to 64 years","161.0","67.0","94.0","-"
"65 years and over","83.0","32.0","51.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","366.0","187.0","179.0","-"
"Married","1092.0","493.0","599.0","-"
"Other","167.0","58.0","109.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","126.0","64.0","62.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","20.0","11.0","9.0","-"
"Military","6.0","D","D","-"
"No occupation/not working outside home","111.0","36.0","75.0","-"
"Homemakers","12.0","-","12.0","-"
"Students or children","72.0","25.0","47.0","-"
"Retirees","15.0","7.0","8.0","-"
"Unemployed","12.0","4.0","8.0","-"
"Unknown","1348.0","617.0","731.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","59.0","28.0","31.0","-"
"Canada","32.0","14.0","18.0","-"
"China","46.0","18.0","28.0","-"
"Colombia","74.0","30.0","44.0","-"
"Dominican Republic","57.0","15.0","42.0","-"
"Ecuador","75.0","30.0","45.0","-"
"Guatemala","31.0","19.0","12.0","-"
"Haiti","102.0","50.0","52.0","-"
"India","172.0","90.0","82.0","-"
"Italy","23.0","15.0","8.0","-"
"Jamaica","120.0","46.0","74.0","-"
"Pakistan","22.0","11.0","11.0","-"
"Peru","37.0","17.0","20.0","-"
"Philippines","62.0","23.0","39.0","-"
"Poland","51.0","27.0","24.0","-"
"Portugal","26.0","11.0","15.0","-"
"Russia","45.0","17.0","28.0","-"
"Ukraine","21.0","10.0","11.0","-"
"United Kingdom","72.0","36.0","36.0","-"
"Vietnam","39.0","14.0","25.0","-"
"Other","459.0","217.0","242.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
