"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Colorado Springs, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","629.0","241.0","388.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","70.0","36.0","34.0","-"
"25 to 34 years","183.0","74.0","109.0","-"
"35 to 44 years","197.0","72.0","125.0","-"
"45 to 54 years","100.0","34.0","66.0","-"
"55 to 64 years","44.0","14.0","30.0","-"
"65 years and over","35.0","11.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","86.0","51.0","35.0","-"
"Married","487.0","177.0","310.0","-"
"Other","56.0","13.0","43.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","81.0","36.0","45.0","-"
"Service occupations","37.0","10.0","27.0","-"
"Sales and office occupations","27.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","9.0","D","-"
"Production, transportation, and material moving occupations","24.0","D","D","-"
"Military","48.0","40.0","8.0","-"
"No occupation/not working outside home","61.0","12.0","49.0","-"
"Homemakers","19.0","-","19.0","-"
"Students or children","34.0","8.0","26.0","-"
"Retirees","D","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","340.0","112.0","228.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","13.0","6.0","7.0","-"
"Canada","22.0","9.0","13.0","-"
"China","23.0","5.0","18.0","-"
"Colombia","7.0","D","D","-"
"Ecuador","7.0","D","D","-"
"El Salvador","6.0","3.0","3.0","-"
"France","9.0","6.0","3.0","-"
"Germany","33.0","D","D","-"
"Guatemala","6.0","D","D","-"
"India","32.0","15.0","17.0","-"
"Korea","32.0","9.0","23.0","-"
"Mexico","112.0","50.0","62.0","-"
"Peru","15.0","D","D","-"
"Philippines","57.0","18.0","39.0","-"
"Poland","8.0","D","D","-"
"Russia","8.0","D","D","-"
"South Africa","17.0","9.0","8.0","-"
"Ukraine","7.0","D","D","-"
"United Kingdom","27.0","14.0","13.0","-"
"Vietnam","36.0","16.0","20.0","-"
"Other","152.0","60.0","92.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
