"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Columbia, MO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","142.0","68.0","74.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","21.0","8.0","13.0","-"
"25 to 34 years","45.0","20.0","25.0","-"
"35 to 44 years","40.0","21.0","19.0","-"
"45 to 54 years","23.0","11.0","12.0","-"
"55 to 64 years","7.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","32.0","16.0","16.0","-"
"Married","98.0","45.0","53.0","-"
"Other","12.0","7.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","26.0","14.0","12.0","-"
"Service occupations","9.0","D","D","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","8.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","26.0","10.0","16.0","-"
"Homemakers","D","-","D","-"
"Students or children","19.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","3.0","-","3.0","-"
"Unknown","70.0","33.0","37.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","9.0","3.0","6.0","-"
"Bulgaria","6.0","3.0","3.0","-"
"Cambodia","4.0","D","D","-"
"Canada","4.0","D","D","-"
"China","16.0","9.0","7.0","-"
"Egypt","3.0","D","D","-"
"Eritrea","D","-","D","-"
"Ethiopia","D","-","D","-"
"Hong Kong","D","D","-","-"
"India","15.0","8.0","7.0","-"
"Iran","3.0","D","D","-"
"Jordan","4.0","D","D","-"
"Mexico","8.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","5.0","D","D","-"
"Russia","4.0","D","D","-"
"Taiwan","7.0","3.0","4.0","-"
"Thailand","5.0","D","D","-"
"Ukraine","3.0","D","D","-"
"Vietnam","5.0","-","5.0","-"
"Other","31.0","17.0","14.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
