"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Dalton, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","354.0","185.0","169.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","74.0","21.0","53.0","-"
"25 to 34 years","98.0","31.0","67.0","-"
"35 to 44 years","77.0","46.0","31.0","-"
"45 to 54 years","32.0","24.0","8.0","-"
"55 to 64 years","51.0","45.0","6.0","-"
"65 years and over","22.0","18.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","78.0","26.0","52.0","-"
"Married","245.0","141.0","104.0","-"
"Other","31.0","18.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","3.0","D","D","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","D","D","-"
"Production, transportation, and material moving occupations","46.0","27.0","19.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","30.0","11.0","19.0","-"
"Homemakers","D","D","D","-"
"Students or children","13.0","D","D","-"
"Retirees","D","5.0","D","-"
"Unemployed","8.0","3.0","5.0","-"
"Unknown","257.0","133.0","124.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Belarus","D","-","D","-"
"Bosnia and Herzegovina","4.0","D","D","-"
"Brazil","D","-","D","-"
"Cameroon","D","-","D","-"
"China","D","D","D","-"
"Cuba","3.0","D","D","-"
"Dominican Republic","9.0","5.0","4.0","-"
"El Salvador","9.0","6.0","3.0","-"
"Guatemala","7.0","D","D","-"
"Honduras","D","D","D","-"
"Hong Kong","3.0","D","D","-"
"India","10.0","5.0","5.0","-"
"Iraq","D","-","D","-"
"Korea","5.0","D","D","-"
"Mexico","258.0","140.0","118.0","-"
"Pakistan","4.0","D","D","-"
"Philippines","D","-","D","-"
"Syria","D","D","-","-"
"Vietnam","14.0","6.0","8.0","-"
"Other","13.0","7.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
