"Persons Naturalized During Fiscal Year 2007","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Eagle Pass, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","287.0","111.0","176.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","31.0","14.0","17.0","-"
"25 to 34 years","59.0","29.0","30.0","-"
"35 to 44 years","38.0","15.0","23.0","-"
"45 to 54 years","37.0","11.0","26.0","-"
"55 to 64 years","73.0","25.0","48.0","-"
"65 years and over","49.0","17.0","32.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","47.0","21.0","26.0","-"
"Married","205.0","84.0","121.0","-"
"Other","35.0","6.0","29.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","D","D","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","7.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","4.0","4.0","-","-"
"Production, transportation, and material moving occupations","12.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","70.0","18.0","52.0","-"
"Homemakers","27.0","-","27.0","-"
"Students or children","16.0","D","D","-"
"Retirees","22.0","10.0","12.0","-"
"Unemployed","5.0","D","D","-"
"Unknown","174.0","69.0","105.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Chile","D","D","-","-"
"Cuba","D","-","D","-"
"El Salvador","D","-","D","-"
"India","D","-","D","-"
"Korea","D","-","D","-"
"Mexico","277.0","D","D","-"
"Philippines","D","-","D","-"
"Unknown","3.0","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
