"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Edwards, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","190.0","93.0","97.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","15.0","D","D","-"
"25 to 34 years","47.0","18.0","29.0","-"
"35 to 44 years","60.0","27.0","33.0","-"
"45 to 54 years","37.0","19.0","18.0","-"
"55 to 64 years","26.0","18.0","8.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","30.0","14.0","16.0","-"
"Married","136.0","73.0","63.0","-"
"Other","24.0","6.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","28.0","4.0","24.0","-"
"Service occupations","38.0","15.0","23.0","-"
"Sales and office occupations","11.0","-","11.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","10.0","10.0","-","-"
"Production, transportation, and material moving occupations","20.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","-","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","77.0","41.0","36.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Australia","5.0","D","D","-"
"Belgium","3.0","-","3.0","-"
"Bolivia","D","-","D","-"
"Bulgaria","3.0","D","D","-"
"Canada","4.0","D","D","-"
"Chile","D","-","D","-"
"El Salvador","4.0","D","D","-"
"Guatemala","D","D","D","-"
"Honduras","7.0","7.0","-","-"
"Ireland","3.0","D","D","-"
"Italy","D","-","D","-"
"Mexico","117.0","64.0","53.0","-"
"Philippines","D","-","D","-"
"Romania","D","D","D","-"
"South Africa","5.0","D","D","-"
"Sweden","5.0","D","D","-"
"Switzerland","D","D","D","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","D","D","D","-"
"Other","13.0","3.0","10.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
