"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fargo, ND-MN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","222.0","106.0","116.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","33.0","13.0","20.0","-"
"25 to 34 years","63.0","30.0","33.0","-"
"35 to 44 years","67.0","33.0","34.0","-"
"45 to 54 years","31.0","16.0","15.0","-"
"55 to 64 years","19.0","11.0","8.0","-"
"65 years and over","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","64.0","33.0","31.0","-"
"Married","137.0","65.0","72.0","-"
"Other","21.0","8.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","D","D","-"
"Service occupations","23.0","7.0","16.0","-"
"Sales and office occupations","D","D","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","25.0","18.0","7.0","-"
"Military","D","-","D","-"
"No occupation/not working outside home","23.0","9.0","14.0","-"
"Homemakers","D","-","D","-"
"Students or children","17.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","D","-","-"
"Unknown","127.0","59.0","68.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","3.0","D","D","-"
"Bosnia and Herzegovina","55.0","21.0","34.0","-"
"Canada","D","-","D","-"
"China","11.0","6.0","5.0","-"
"Colombia","3.0","D","D","-"
"Ecuador","3.0","D","D","-"
"India","9.0","D","D","-"
"Iraq","24.0","17.0","7.0","-"
"Korea","D","-","D","-"
"Mexico","7.0","D","D","-"
"Nigeria","3.0","D","D","-"
"Philippines","4.0","D","D","-"
"Russia","D","D","D","-"
"Serbia and Montenegro","9.0","6.0","3.0","-"
"Somalia","16.0","10.0","6.0","-"
"South Africa","D","D","D","-"
"Soviet Union (former)","D","-","D","-"
"Sudan","25.0","15.0","10.0","-"
"Thailand","D","D","D","-"
"Vietnam","16.0","4.0","12.0","-"
"Other","22.0","8.0","14.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
