"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Gettysburg, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","72.0","31.0","41.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","D","D","-"
"25 to 34 years","22.0","9.0","13.0","-"
"35 to 44 years","21.0","10.0","11.0","-"
"45 to 54 years","10.0","3.0","7.0","-"
"55 to 64 years","D","4.0","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","4.0","7.0","-"
"Married","55.0","24.0","31.0","-"
"Other","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","3.0","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","59.0","25.0","34.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","6.0","D","D","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Czechoslovakia (former)","D","D","D","-"
"Dominican Republic","D","D","-","-"
"Germany","D","D","D","-"
"Guatemala","D","-","D","-"
"Honduras","D","-","D","-"
"India","4.0","D","D","-"
"Japan","D","-","D","-"
"Kazakhstan","D","-","D","-"
"Laos","D","D","-","-"
"Mexico","33.0","16.0","17.0","-"
"Nicaragua","D","-","D","-"
"Norway","D","-","D","-"
"Panama","D","-","D","-"
"Peru","D","-","D","-"
"Philippines","5.0","D","D","-"
"Russia","D","-","D","-"
"United Kingdom","D","D","-","-"
"Other","3.0","1.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
