"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Grand Junction, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","86.0","37.0","49.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","4.0","D","D","-"
"25 to 34 years","21.0","5.0","16.0","-"
"35 to 44 years","24.0","11.0","13.0","-"
"45 to 54 years","18.0","9.0","9.0","-"
"55 to 64 years","13.0","7.0","6.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","5.0","7.0","-"
"Married","65.0","28.0","37.0","-"
"Other","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","4.0","7.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","11.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","43.0","15.0","28.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Brazil","D","-","D","-"
"Canada","3.0","D","D","-"
"Chile","D","D","-","-"
"China","3.0","D","D","-"
"Colombia","3.0","D","D","-"
"Costa Rica","D","D","-","-"
"Cuba","D","-","D","-"
"Czechoslovakia (former)","D","-","D","-"
"Ecuador","D","D","-","-"
"Guatemala","D","-","D","-"
"Haiti","D","D","D","-"
"Ireland","D","D","D","-"
"Mexico","32.0","18.0","14.0","-"
"Philippines","4.0","D","D","-"
"Romania","D","D","D","-"
"Russia","4.0","-","4.0","-"
"Soviet Union (former)","3.0","D","D","-"
"Thailand","D","-","D","-"
"United Kingdom","3.0","D","D","-"
"Other","14.0","5.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
