"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hilo, HI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","322.0","140.0","182.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","21.0","9.0","12.0","-"
"25 to 34 years","85.0","35.0","50.0","-"
"35 to 44 years","96.0","40.0","56.0","-"
"45 to 54 years","61.0","29.0","32.0","-"
"55 to 64 years","39.0","19.0","20.0","-"
"65 years and over","20.0","8.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","59.0","29.0","30.0","-"
"Married","235.0","102.0","133.0","-"
"Other","28.0","9.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","36.0","12.0","24.0","-"
"Service occupations","32.0","12.0","20.0","-"
"Sales and office occupations","16.0","D","D","-"
"Farming, fishing, and forestry occupations","9.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","16.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","30.0","12.0","18.0","-"
"Homemakers","D","D","4.0","-"
"Students or children","16.0","D","D","-"
"Retirees","7.0","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","180.0","83.0","97.0","-"
"","","","",""
"Leading countries of birth","","","",""
"American Samoa","4.0","D","D","-"
"Australia","D","D","D","-"
"Austria","D","D","-","-"
"Cambodia","D","-","D","-"
"Canada","9.0","5.0","4.0","-"
"China","4.0","-","4.0","-"
"Czech Republic","D","D","D","-"
"Dominican Republic","D","-","D","-"
"Germany","7.0","4.0","3.0","-"
"Jamaica","4.0","D","D","-"
"Japan","7.0","D","D","-"
"Korea","13.0","4.0","9.0","-"
"Mexico","29.0","15.0","14.0","-"
"Philippines","173.0","71.0","102.0","-"
"Russia","4.0","D","D","-"
"Taiwan","3.0","D","D","-"
"Thailand","4.0","D","D","-"
"Tonga","6.0","6.0","-","-"
"United Kingdom","6.0","3.0","3.0","-"
"Vietnam","9.0","6.0","3.0","-"
"Other","29.0","10.0","19.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
