"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hood River, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","89.0","42.0","47.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","13.0","3.0","10.0","-"
"25 to 34 years","19.0","8.0","11.0","-"
"35 to 44 years","14.0","6.0","8.0","-"
"45 to 54 years","14.0","D","D","-"
"55 to 64 years","20.0","11.0","9.0","-"
"65 years and over","9.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","5.0","6.0","-"
"Married","70.0","33.0","37.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5.0","5.0","-","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","8.0","3.0","5.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","9.0","6.0","3.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","4.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","52.0","22.0","30.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","3.0","D","D","-"
"Chile","D","D","D","-"
"Costa Rica","D","D","-","-"
"Guatemala","D","D","-","-"
"India","D","D","-","-"
"Korea","D","-","D","-"
"Mexico","76.0","D","D","-"
"Moldova","D","-","D","-"
"Poland","D","D","-","-"
"Taiwan","D","-","D","-"
"United Kingdom","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
