"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Athens, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","58.0","29.0","29.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","5.0","5.0","-"
"25 to 34 years","12.0","4.0","8.0","-"
"35 to 44 years","15.0","7.0","8.0","-"
"45 to 54 years","D","D","D","-"
"55 to 64 years","12.0","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","3.0","-"
"Married","45.0","19.0","26.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","3.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","45.0","20.0","25.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","-","D","-"
"Bulgaria","D","D","-","-"
"Burma","D","-","D","-"
"Canada","D","D","-","-"
"Costa Rica","D","-","D","-"
"Ecuador","D","-","D","-"
"Honduras","D","D","-","-"
"Hungary","D","-","D","-"
"India","3.0","D","D","-"
"Mexico","36.0","19.0","17.0","-"
"Nicaragua","D","-","D","-"
"Pakistan","D","D","-","-"
"Philippines","3.0","-","3.0","-"
"Russia","D","D","-","-"
"United Kingdom","4.0","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
