"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Janesville, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","126.0","61.0","65.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","8.0","4.0","4.0","-"
"25 to 34 years","29.0","13.0","16.0","-"
"35 to 44 years","34.0","16.0","18.0","-"
"45 to 54 years","25.0","11.0","14.0","-"
"55 to 64 years","20.0","12.0","8.0","-"
"65 years and over","10.0","5.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","7.0","8.0","-"
"Married","94.0","48.0","46.0","-"
"Other","17.0","6.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","8.0","D","D","-"
"Service occupations","11.0","5.0","6.0","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","32.0","19.0","13.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","12.0","4.0","8.0","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","4.0","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","56.0","24.0","32.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","-","D","-"
"Argentina","D","-","D","-"
"Belize","D","D","-","-"
"Bosnia and Herzegovina","D","-","D","-"
"Brazil","D","-","D","-"
"Cambodia","4.0","D","D","-"
"Canada","D","D","D","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Costa Rica","D","D","-","-"
"Dominican Republic","D","D","-","-"
"Macedonia","D","D","D","-"
"Mexico","69.0","39.0","30.0","-"
"Philippines","6.0","D","D","-"
"Romania","D","D","D","-"
"Serbia and Montenegro","D","D","D","-"
"Thailand","D","-","D","-"
"United Kingdom","D","D","D","-"
"Venezuela","D","D","-","-"
"Vietnam","8.0","5.0","3.0","-"
"Other","12.0","5.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
