"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Johnson City, TN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","86.0","36.0","50.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","4.0","-"
"25 to 34 years","21.0","9.0","12.0","-"
"35 to 44 years","30.0","10.0","20.0","-"
"45 to 54 years","17.0","8.0","9.0","-"
"55 to 64 years","9.0","4.0","5.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","D","D","-"
"Married","68.0","26.0","42.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","6.0","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","10.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","4.0","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","66.0","25.0","41.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","D","-","D","-"
"Argentina","D","-","D","-"
"Belize","D","-","D","-"
"Bosnia and Herzegovina","4.0","D","D","-"
"Canada","4.0","D","D","-"
"China","3.0","D","D","-"
"Ethiopia","D","D","-","-"
"Honduras","D","D","D","-"
"Hungary","D","D","D","-"
"India","12.0","8.0","4.0","-"
"Iran","D","D","D","-"
"Liberia","4.0","D","D","-"
"Mexico","8.0","3.0","5.0","-"
"Peru","D","D","-","-"
"Philippines","7.0","D","D","-"
"Russia","3.0","D","D","-"
"Serbia and Montenegro","D","D","D","-"
"Ukraine","D","-","D","-"
"United Kingdom","D","D","D","-"
"Venezuela","D","D","D","-"
"Other","20.0","7.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
