"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kahului-Wailuku, HI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","604.0","254.0","350.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","45.0","17.0","28.0","-"
"25 to 34 years","170.0","67.0","103.0","-"
"35 to 44 years","186.0","89.0","97.0","-"
"45 to 54 years","114.0","46.0","68.0","-"
"55 to 64 years","64.0","25.0","39.0","-"
"65 years and over","25.0","10.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","138.0","55.0","83.0","-"
"Married","400.0","177.0","223.0","-"
"Other","66.0","22.0","44.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","56.0","13.0","43.0","-"
"Service occupations","111.0","49.0","62.0","-"
"Sales and office occupations","62.0","8.0","54.0","-"
"Farming, fishing, and forestry occupations","D","D","3.0","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","29.0","21.0","8.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","24.0","6.0","18.0","-"
"Homemakers","D","-","D","-"
"Students or children","15.0","D","D","-"
"Retirees","4.0","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","313.0","151.0","162.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","10.0","D","D","-"
"Australia","7.0","3.0","4.0","-"
"Brazil","7.0","D","D","-"
"Canada","15.0","6.0","9.0","-"
"China","6.0","D","D","-"
"Costa Rica","D","D","D","-"
"El Salvador","D","D","D","-"
"Fiji","D","-","D","-"
"France","D","D","-","-"
"Germany","8.0","4.0","4.0","-"
"India","5.0","D","D","-"
"Japan","6.0","D","D","-"
"Korea","12.0","D","D","-"
"Mexico","25.0","16.0","9.0","-"
"Philippines","437.0","177.0","260.0","-"
"Switzerland","3.0","D","D","-"
"Thailand","4.0","D","D","-"
"Tonga","7.0","D","D","-"
"United Kingdom","6.0","3.0","3.0","-"
"Vietnam","6.0","D","D","-"
"Other","32.0","16.0","16.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
