"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kalamazoo-Portage, MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","194.0","93.0","101.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","16.0","6.0","10.0","-"
"25 to 34 years","41.0","18.0","23.0","-"
"35 to 44 years","65.0","36.0","29.0","-"
"45 to 54 years","30.0","11.0","19.0","-"
"55 to 64 years","29.0","16.0","13.0","-"
"65 years and over","13.0","6.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","17.0","14.0","-"
"Married","144.0","67.0","77.0","-"
"Other","19.0","9.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","59.0","33.0","26.0","-"
"Service occupations","11.0","6.0","5.0","-"
"Sales and office occupations","D","D","7.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","13.0","7.0","6.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","20.0","5.0","15.0","-"
"Homemakers","5.0","-","5.0","-"
"Students or children","8.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","80.0","38.0","42.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","-","D","-"
"Belgium","D","-","D","-"
"Brazil","D","D","D","-"
"Bulgaria","D","D","D","-"
"Canada","11.0","6.0","5.0","-"
"China","10.0","5.0","5.0","-"
"Czechoslovakia (former)","D","D","D","-"
"India","34.0","21.0","13.0","-"
"Iran","D","-","D","-"
"Korea","3.0","D","D","-"
"Malaysia","D","D","-","-"
"Mexico","42.0","19.0","23.0","-"
"Netherlands","D","D","-","-"
"Nicaragua","D","-","D","-"
"Pakistan","8.0","4.0","4.0","-"
"Philippines","14.0","4.0","10.0","-"
"Poland","4.0","D","D","-"
"United Kingdom","7.0","4.0","3.0","-"
"Venezuela","4.0","D","D","-"
"Vietnam","6.0","3.0","3.0","-"
"Other","33.0","14.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
