"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kalispell, MT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","50.0","21.0","29.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","3.0","D","-"
"25 to 34 years","14.0","6.0","8.0","-"
"35 to 44 years","9.0","D","D","-"
"45 to 54 years","13.0","4.0","9.0","-"
"55 to 64 years","7.0","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","8.0","D","D","-"
"Married","37.0","13.0","24.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5.0","D","D","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","25.0","10.0","15.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Brazil","D","-","D","-"
"Canada","5.0","D","D","-"
"China","3.0","D","D","-"
"Colombia","D","-","D","-"
"Estonia","D","D","-","-"
"Germany","3.0","D","D","-"
"Indonesia","D","D","D","-"
"Italy","D","D","-","-"
"Korea","D","D","-","-"
"Mexico","5.0","D","D","-"
"New Zealand","D","D","-","-"
"Norway","3.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","D","-","D","-"
"Poland","D","-","D","-"
"Russia","7.0","D","D","-"
"Singapore","D","-","D","-"
"Ukraine","D","D","D","-"
"United Kingdom","5.0","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
