"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kendallville, IN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","58.0","25.0","33.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","4.0","6.0","-"
"25 to 34 years","21.0","4.0","17.0","-"
"35 to 44 years","13.0","D","D","-"
"45 to 54 years","8.0","3.0","5.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","D","D","-"
"Married","41.0","18.0","23.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","-","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","16.0","8.0","8.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","-","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","31.0","12.0","19.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","D","D","-","-"
"El Salvador","D","-","D","-"
"India","D","D","-","-"
"Laos","D","D","D","-"
"Mexico","46.0","19.0","27.0","-"
"Philippines","D","-","D","-"
"Vietnam","3.0","D","D","-"
"Yemen","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
