"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kingsport-Bristol, TN-VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","69.0","28.0","41.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","4.0","D","D","-"
"25 to 34 years","20.0","8.0","12.0","-"
"35 to 44 years","21.0","11.0","10.0","-"
"45 to 54 years","9.0","D","D","-"
"55 to 64 years","9.0","3.0","6.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","6.0","5.0","-"
"Married","53.0","22.0","31.0","-"
"Other","5.0","-","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","12.0","6.0","6.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","D","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","3.0","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","48.0","17.0","31.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","D","-","-"
"Bosnia and Herzegovina","3.0","D","D","-"
"Canada","3.0","D","D","-"
"China","3.0","-","3.0","-"
"Colombia","D","-","D","-"
"Congo, Democratic Republic of the","D","D","-","-"
"Cuba","D","D","-","-"
"Egypt","D","D","-","-"
"Germany","3.0","-","3.0","-"
"India","5.0","5.0","-","-"
"Lebanon","D","D","D","-"
"Mexico","6.0","3.0","3.0","-"
"Nicaragua","3.0","D","D","-"
"Philippines","8.0","D","D","-"
"Rwanda","D","D","D","-"
"South Africa","3.0","D","D","-"
"Switzerland","D","-","D","-"
"Ukraine","D","D","D","-"
"United Kingdom","D","-","D","-"
"Vietnam","4.0","-","4.0","-"
"Other","12.0","6.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
