"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kingston, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","229.0","110.0","119.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","25.0","13.0","12.0","-"
"25 to 34 years","54.0","23.0","31.0","-"
"35 to 44 years","70.0","32.0","38.0","-"
"45 to 54 years","49.0","27.0","22.0","-"
"55 to 64 years","21.0","11.0","10.0","-"
"65 years and over","10.0","4.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","56.0","30.0","26.0","-"
"Married","153.0","75.0","78.0","-"
"Other","20.0","5.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","23.0","15.0","8.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","7.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","19.0","5.0","14.0","-"
"Homemakers","-","-","-","-"
"Students or children","14.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","170.0","80.0","90.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","3.0","D","D","-"
"Brazil","4.0","D","D","-"
"Canada","6.0","D","D","-"
"Chile","5.0","D","D","-"
"China","9.0","3.0","6.0","-"
"Colombia","6.0","D","D","-"
"Dominican Republic","7.0","D","D","-"
"Ecuador","3.0","D","D","-"
"El Salvador","7.0","D","D","-"
"Germany","3.0","-","3.0","-"
"Haiti","5.0","D","D","-"
"Honduras","3.0","D","D","-"
"India","21.0","11.0","10.0","-"
"Jamaica","23.0","10.0","13.0","-"
"Mexico","16.0","10.0","6.0","-"
"Pakistan","14.0","9.0","5.0","-"
"Philippines","11.0","4.0","7.0","-"
"Poland","6.0","D","D","-"
"Ukraine","5.0","D","D","-"
"United Kingdom","8.0","5.0","3.0","-"
"Other","64.0","30.0","34.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
