"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lynchburg, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","82.0","37.0","45.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","8.0","D","D","-"
"25 to 34 years","24.0","12.0","12.0","-"
"35 to 44 years","23.0","7.0","16.0","-"
"45 to 54 years","17.0","7.0","10.0","-"
"55 to 64 years","7.0","D","D","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","14.0","D","-"
"Married","62.0","23.0","39.0","-"
"Other","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","10.0","6.0","4.0","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","6.0","3.0","-"
"Homemakers","-","-","-","-"
"Students or children","9.0","6.0","3.0","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","63.0","25.0","38.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","D","-"
"Bulgaria","D","D","-","-"
"Canada","D","D","-","-"
"China","8.0","D","D","-"
"Cote d'Ivoire","D","-","D","-"
"Germany","6.0","3.0","3.0","-"
"Ghana","D","D","-","-"
"Honduras","D","D","-","-"
"India","10.0","D","D","-"
"Korea","D","D","-","-"
"Pakistan","5.0","D","D","-"
"Philippines","3.0","-","3.0","-"
"Romania","4.0","D","D","-"
"Serbia and Montenegro","3.0","D","D","-"
"South Africa","3.0","D","D","-"
"Soviet Union (former)","D","D","D","-"
"Taiwan","3.0","D","D","-"
"Thailand","D","-","D","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","13.0","6.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
