"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Macon, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","122.0","58.0","64.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","14.0","5.0","9.0","-"
"25 to 34 years","25.0","13.0","12.0","-"
"35 to 44 years","41.0","20.0","21.0","-"
"45 to 54 years","28.0","15.0","13.0","-"
"55 to 64 years","10.0","5.0","5.0","-"
"65 years and over","4.0","-","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","10.0","8.0","-"
"Married","96.0","43.0","53.0","-"
"Other","8.0","5.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21.0","12.0","9.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","11.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","83.0","42.0","41.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","3.0","D","D","-"
"China","3.0","-","3.0","-"
"Germany","3.0","-","3.0","-"
"Haiti","D","D","D","-"
"India","28.0","15.0","13.0","-"
"Iran","4.0","D","D","-"
"Jamaica","D","D","D","-"
"Japan","D","D","D","-"
"Kenya","4.0","D","D","-"
"Korea","8.0","4.0","4.0","-"
"Lebanon","D","-","D","-"
"Mexico","7.0","D","D","-"
"Nigeria","6.0","D","D","-"
"Pakistan","3.0","3.0","-","-"
"Panama","D","-","D","-"
"Philippines","11.0","4.0","7.0","-"
"Senegal","D","D","D","-"
"Taiwan","3.0","D","D","-"
"United Kingdom","4.0","D","D","-"
"Vietnam","5.0","D","D","-"
"Other","18.0","8.0","10.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
