"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Madera, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","563.0","262.0","301.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","52.0","22.0","30.0","-"
"25 to 34 years","170.0","60.0","110.0","-"
"35 to 44 years","125.0","52.0","73.0","-"
"45 to 54 years","53.0","25.0","28.0","-"
"55 to 64 years","100.0","56.0","44.0","-"
"65 years and over","63.0","47.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","116.0","46.0","70.0","-"
"Married","418.0","209.0","209.0","-"
"Other","29.0","7.0","22.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","30.0","D","D","-"
"Service occupations","35.0","9.0","26.0","-"
"Sales and office occupations","30.0","8.0","22.0","-"
"Farming, fishing, and forestry occupations","10.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","14.0","14.0","-","-"
"Production, transportation, and material moving occupations","66.0","50.0","16.0","-"
"Military","4.0","4.0","-","-"
"No occupation/not working outside home","72.0","32.0","40.0","-"
"Homemakers","D","D","D","-"
"Students or children","21.0","6.0","15.0","-"
"Retirees","27.0","D","D","-"
"Unemployed","D","D","-","-"
"Unknown","302.0","122.0","180.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Armenia","D","-","D","-"
"Brazil","D","-","D","-"
"Cambodia","D","D","-","-"
"Canada","D","D","D","-"
"Cuba","D","-","D","-"
"El Salvador","11.0","7.0","4.0","-"
"Fiji","D","-","D","-"
"Guatemala","5.0","D","D","-"
"India","24.0","11.0","13.0","-"
"Iran","D","-","D","-"
"Japan","D","-","D","-"
"Laos","D","D","-","-"
"Mexico","492.0","231.0","261.0","-"
"Moldova","D","-","D","-"
"Nicaragua","D","-","D","-"
"Pakistan","3.0","3.0","-","-"
"Philippines","6.0","3.0","3.0","-"
"Portugal","D","-","D","-"
"United Kingdom","D","D","-","-"
"Vietnam","3.0","D","D","-"
"Other","3.0","-","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
