"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Mankato-North Mankato, MN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","91.0","41.0","50.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","11.0","6.0","5.0","-"
"25 to 34 years","21.0","6.0","15.0","-"
"35 to 44 years","25.0","14.0","11.0","-"
"45 to 54 years","25.0","11.0","14.0","-"
"55 to 64 years","3.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","23.0","10.0","13.0","-"
"Married","54.0","28.0","26.0","-"
"Other","14.0","3.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","11.0","6.0","5.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","4.0","5.0","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","49.0","20.0","29.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","6.0","D","D","-"
"Bosnia and Herzegovina","D","D","-","-"
"Brazil","D","D","D","-"
"Cambodia","D","-","D","-"
"China","D","-","D","-"
"Costa Rica","D","-","D","-"
"Egypt","D","D","-","-"
"El Salvador","4.0","D","D","-"
"Eritrea","D","D","-","-"
"Ethiopia","3.0","-","3.0","-"
"Germany","D","D","-","-"
"Guyana","D","D","D","-"
"Iraq","3.0","D","D","-"
"Kenya","D","D","-","-"
"Mexico","10.0","3.0","7.0","-"
"Pakistan","D","D","-","-"
"Russia","D","-","D","-"
"Somalia","18.0","7.0","11.0","-"
"Sudan","9.0","4.0","5.0","-"
"Vietnam","9.0","4.0","5.0","-"
"Other","11.0","6.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
