"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Midland, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","216.0","106.0","110.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","5.0","12.0","-"
"25 to 34 years","62.0","30.0","32.0","-"
"35 to 44 years","69.0","35.0","34.0","-"
"45 to 54 years","35.0","16.0","19.0","-"
"55 to 64 years","22.0","12.0","10.0","-"
"65 years and over","11.0","8.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28.0","12.0","16.0","-"
"Married","153.0","78.0","75.0","-"
"Other","35.0","16.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","5.0","8.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","3.0","D","D","-"
"Military","3.0","D","D","-"
"No occupation/not working outside home","12.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","6.0","-","6.0","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","D","-"
"Unknown","180.0","93.0","87.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Australia","D","-","D","-"
"Austria","D","D","-","-"
"Canada","3.0","D","D","-"
"Colombia","D","D","D","-"
"El Salvador","3.0","D","D","-"
"Ghana","D","-","D","-"
"Guatemala","D","D","D","-"
"India","D","-","D","-"
"Indonesia","D","-","D","-"
"Iran","D","D","-","-"
"Israel","D","D","-","-"
"Italy","D","D","-","-"
"Kenya","D","-","D","-"
"Mexico","174.0","87.0","87.0","-"
"Nigeria","D","D","D","-"
"Philippines","6.0","D","D","-"
"South Africa","D","-","D","-"
"Syria","D","D","-","-"
"United Kingdom","3.0","3.0","-","-"
"Other","6.0","3.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
