"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Mount Pleasant, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","90.0","41.0","49.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","18.0","3.0","15.0","-"
"25 to 34 years","28.0","7.0","21.0","-"
"35 to 44 years","20.0","12.0","8.0","-"
"45 to 54 years","10.0","D","D","-"
"55 to 64 years","8.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","D","D","-"
"Married","66.0","35.0","31.0","-"
"Other","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","3.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","15.0","12.0","3.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","-","5.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","63.0","25.0","38.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Colombia","D","-","D","-"
"El Salvador","D","D","D","-"
"Honduras","3.0","D","D","-"
"India","D","-","D","-"
"Kuwait","D","D","D","-"
"Mexico","78.0","D","D","-"
"Panama","D","D","-","-"
"Philippines","D","-","D","-"
"United Kingdom","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
