"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Peoria, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","264.0","102.0","162.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","15.0","8.0","7.0","-"
"25 to 34 years","51.0","13.0","38.0","-"
"35 to 44 years","120.0","46.0","74.0","-"
"45 to 54 years","46.0","22.0","24.0","-"
"55 to 64 years","15.0","6.0","9.0","-"
"65 years and over","17.0","7.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","14.0","17.0","-"
"Married","218.0","83.0","135.0","-"
"Other","15.0","5.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","68.0","44.0","24.0","-"
"Service occupations","17.0","D","D","-"
"Sales and office occupations","14.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","7.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","36.0","7.0","29.0","-"
"Homemakers","12.0","-","12.0","-"
"Students or children","20.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","115.0","41.0","74.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Burma","3.0","D","D","-"
"Canada","5.0","D","D","-"
"China","29.0","10.0","19.0","-"
"Germany","3.0","D","D","-"
"Ghana","3.0","D","D","-"
"India","52.0","22.0","30.0","-"
"Italy","4.0","4.0","-","-"
"Jordan","4.0","D","D","-"
"Korea","3.0","D","D","-"
"Laos","3.0","D","D","-"
"Lebanon","6.0","3.0","3.0","-"
"Mexico","34.0","13.0","21.0","-"
"Pakistan","5.0","D","D","-"
"Philippines","21.0","4.0","17.0","-"
"Romania","4.0","D","D","-"
"Sudan","5.0","D","D","-"
"Syria","5.0","D","D","-"
"Tanzania","4.0","D","D","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","18.0","D","D","-"
"Other","47.0","19.0","28.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
