"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","16720.0","7572.0","9147.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","1733.0","781.0","952.0","-"
"25 to 34 years","4014.0","1589.0","2425.0","-"
"35 to 44 years","4803.0","2303.0","2499.0","1.0"
"45 to 54 years","3228.0","1529.0","1699.0","-"
"55 to 64 years","1849.0","851.0","998.0","-"
"65 years and over","1093.0","519.0","574.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","3816.0","1849.0","1967.0","-"
"Married","11244.0","5204.0","6040.0","-"
"Other","1659.0","519.0","1140.0","-"
"Unknown","1.0","-","-","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","962.0","506.0","456.0","-"
"Service occupations","52.0","D","D","-"
"Sales and office occupations","90.0","36.0","54.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","44.0","D","-"
"Production, transportation, and material moving occupations","276.0","169.0","107.0","-"
"Military","67.0","D","D","-"
"No occupation/not working outside home","1384.0","547.0","837.0","-"
"Homemakers","129.0","4.0","125.0","-"
"Students or children","1007.0","442.0","565.0","-"
"Retirees","134.0","68.0","66.0","-"
"Unemployed","114.0","33.0","81.0","-"
"Unknown","13842.0","6203.0","7638.0","1.0"
"","","","",""
"Leading countries of birth","","","",""
"Albania","263.0","131.0","132.0","-"
"Cambodia","349.0","141.0","208.0","-"
"China","1065.0","501.0","564.0","-"
"Colombia","220.0","76.0","144.0","-"
"Dominican Republic","658.0","261.0","397.0","-"
"Haiti","398.0","169.0","229.0","-"
"India","2713.0","1375.0","1338.0","-"
"Jamaica","608.0","227.0","381.0","-"
"Korea","729.0","293.0","436.0","-"
"Liberia","408.0","158.0","250.0","-"
"Mexico","412.0","221.0","191.0","-"
"Nigeria","231.0","123.0","108.0","-"
"Pakistan","265.0","152.0","113.0","-"
"Philippines","667.0","249.0","418.0","-"
"Poland","320.0","114.0","206.0","-"
"Russia","341.0","129.0","212.0","-"
"Trinidad and Tobago","241.0","88.0","153.0","-"
"Ukraine","599.0","268.0","331.0","-"
"United Kingdom","297.0","152.0","145.0","-"
"Vietnam","1126.0","434.0","691.0","1.0"
"Other","4804.0","2306.0","2498.0","-"
"Unknown","6.0","4.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
