"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Port St. Lucie, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1466.0","593.0","873.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","115.0","51.0","64.0","-"
"25 to 34 years","384.0","151.0","233.0","-"
"35 to 44 years","504.0","192.0","312.0","-"
"45 to 54 years","261.0","113.0","148.0","-"
"55 to 64 years","144.0","61.0","83.0","-"
"65 years and over","58.0","25.0","33.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","261.0","120.0","141.0","-"
"Married","1054.0","425.0","629.0","-"
"Other","151.0","48.0","103.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","122.0","43.0","79.0","-"
"Service occupations","49.0","12.0","37.0","-"
"Sales and office occupations","48.0","14.0","34.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","19.0","D","D","-"
"Production, transportation, and material moving occupations","44.0","D","D","-"
"Military","6.0","6.0","-","-"
"No occupation/not working outside home","107.0","26.0","81.0","-"
"Homemakers","23.0","-","23.0","-"
"Students or children","64.0","20.0","44.0","-"
"Retirees","12.0","D","D","-"
"Unemployed","8.0","D","D","-"
"Unknown","1071.0","439.0","632.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","43.0","19.0","24.0","-"
"Canada","29.0","9.0","20.0","-"
"Colombia","88.0","22.0","66.0","-"
"Cuba","89.0","41.0","48.0","-"
"Dominican Republic","35.0","15.0","20.0","-"
"Ecuador","27.0","8.0","19.0","-"
"El Salvador","21.0","10.0","11.0","-"
"Guatemala","24.0","12.0","12.0","-"
"Guyana","23.0","11.0","12.0","-"
"Haiti","290.0","128.0","162.0","-"
"India","18.0","10.0","8.0","-"
"Jamaica","144.0","55.0","89.0","-"
"Mexico","162.0","58.0","104.0","-"
"Nicaragua","28.0","13.0","15.0","-"
"Peru","24.0","6.0","18.0","-"
"Philippines","34.0","12.0","22.0","-"
"Trinidad and Tobago","33.0","10.0","23.0","-"
"United Kingdom","30.0","17.0","13.0","-"
"Venezuela","27.0","11.0","16.0","-"
"Vietnam","27.0","13.0","14.0","-"
"Other","266.0","112.0","154.0","-"
"Unknown","4.0","1.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
