"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Punta Gorda, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","277.0","93.0","184.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","19.0","8.0","11.0","-"
"25 to 34 years","42.0","9.0","33.0","-"
"35 to 44 years","76.0","24.0","52.0","-"
"45 to 54 years","84.0","35.0","49.0","-"
"55 to 64 years","37.0","11.0","26.0","-"
"65 years and over","19.0","6.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","42.0","18.0","24.0","-"
"Married","186.0","63.0","123.0","-"
"Other","49.0","12.0","37.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","12.0","3.0","9.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","17.0","6.0","11.0","-"
"Homemakers","-","-","-","-"
"Students or children","10.0","3.0","7.0","-"
"Retirees","D","3.0","D","-"
"Unemployed","D","-","D","-"
"Unknown","239.0","80.0","159.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","5.0","D","D","-"
"Canada","14.0","D","D","-"
"Colombia","10.0","3.0","7.0","-"
"Costa Rica","3.0","-","3.0","-"
"Cuba","38.0","16.0","22.0","-"
"Dominican Republic","10.0","7.0","3.0","-"
"Ecuador","6.0","3.0","3.0","-"
"Germany","6.0","D","D","-"
"Haiti","39.0","9.0","30.0","-"
"Hungary","4.0","D","D","-"
"India","3.0","D","D","-"
"Jamaica","27.0","10.0","17.0","-"
"Mexico","8.0","3.0","5.0","-"
"Nicaragua","5.0","-","5.0","-"
"Peru","5.0","-","5.0","-"
"Philippines","7.0","D","D","-"
"Soviet Union (former)","4.0","D","D","-"
"Trinidad and Tobago","9.0","D","D","-"
"United Kingdom","15.0","7.0","8.0","-"
"Vietnam","8.0","D","D","-"
"Other","51.0","20.0","31.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
