"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Redding, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","148.0","64.0","84.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","6.0","4.0","-"
"25 to 34 years","43.0","22.0","21.0","-"
"35 to 44 years","39.0","13.0","26.0","-"
"45 to 54 years","27.0","9.0","18.0","-"
"55 to 64 years","16.0","9.0","7.0","-"
"65 years and over","13.0","5.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","17.0","10.0","-"
"Married","110.0","42.0","68.0","-"
"Other","11.0","5.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","8.0","6.0","-"
"Service occupations","14.0","4.0","10.0","-"
"Sales and office occupations","6.0","3.0","3.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","16.0","11.0","5.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","19.0","4.0","15.0","-"
"Homemakers","D","-","D","-"
"Students or children","10.0","D","D","-"
"Retirees","4.0","D","D","-"
"Unemployed","D","D","-","-"
"Unknown","75.0","30.0","45.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","-","-"
"Cambodia","D","-","D","-"
"Canada","5.0","D","D","-"
"China","D","-","D","-"
"El Salvador","D","-","D","-"
"Finland","D","-","D","-"
"Germany","4.0","-","4.0","-"
"Guatemala","D","D","D","-"
"Honduras","D","-","D","-"
"Hong Kong","D","D","-","-"
"Iceland","D","D","-","-"
"India","14.0","8.0","6.0","-"
"Laos","5.0","D","D","-"
"Lebanon","3.0","3.0","-","-"
"Mexico","65.0","31.0","34.0","-"
"Philippines","12.0","D","D","-"
"Russia","4.0","D","D","-"
"Thailand","8.0","3.0","5.0","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","9.0","6.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
