"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Santa Rosa-Petaluma, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1635.0","731.0","904.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","129.0","47.0","82.0","-"
"25 to 34 years","435.0","175.0","260.0","-"
"35 to 44 years","497.0","210.0","287.0","-"
"45 to 54 years","279.0","140.0","139.0","-"
"55 to 64 years","188.0","97.0","91.0","-"
"65 years and over","107.0","62.0","45.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","309.0","141.0","168.0","-"
"Married","1185.0","538.0","647.0","-"
"Other","141.0","52.0","89.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","203.0","85.0","118.0","-"
"Service occupations","123.0","35.0","88.0","-"
"Sales and office occupations","79.0","25.0","54.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","44.0","44.0","-","-"
"Production, transportation, and material moving occupations","86.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","232.0","55.0","177.0","-"
"Homemakers","100.0","D","D","-"
"Students or children","88.0","20.0","68.0","-"
"Retirees","31.0","23.0","8.0","-"
"Unemployed","13.0","D","D","-"
"Unknown","852.0","396.0","456.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Cambodia","28.0","16.0","12.0","-"
"Canada","18.0","8.0","10.0","-"
"China","39.0","17.0","22.0","-"
"El Salvador","45.0","15.0","30.0","-"
"France","12.0","5.0","7.0","-"
"Germany","15.0","6.0","9.0","-"
"Guatemala","20.0","6.0","14.0","-"
"Hong Kong","11.0","4.0","7.0","-"
"India","69.0","34.0","35.0","-"
"Iran","16.0","6.0","10.0","-"
"Korea","12.0","7.0","5.0","-"
"Laos","12.0","5.0","7.0","-"
"Mexico","869.0","430.0","439.0","-"
"Nicaragua","11.0","D","D","-"
"Peru","19.0","8.0","11.0","-"
"Philippines","72.0","23.0","49.0","-"
"Russia","15.0","D","D","-"
"Thailand","20.0","6.0","14.0","-"
"United Kingdom","34.0","13.0","21.0","-"
"Vietnam","66.0","21.0","45.0","-"
"Other","232.0","96.0","136.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
