"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Seaford, DE","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","175.0","73.0","102.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","14.0","D","D","-"
"25 to 34 years","44.0","16.0","28.0","-"
"35 to 44 years","61.0","27.0","34.0","-"
"45 to 54 years","28.0","16.0","12.0","-"
"55 to 64 years","22.0","9.0","13.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","25.0","11.0","14.0","-"
"Married","135.0","58.0","77.0","-"
"Other","15.0","4.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","15.0","7.0","8.0","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","4.0","4.0","-"
"Homemakers","-","-","-","-"
"Students or children","D","4.0","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","144.0","57.0","87.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Brazil","3.0","D","D","-"
"Canada","5.0","D","D","-"
"Colombia","D","-","D","-"
"Dominican Republic","5.0","D","D","-"
"Ecuador","3.0","D","D","-"
"El Salvador","8.0","3.0","5.0","-"
"Guatemala","11.0","7.0","4.0","-"
"Haiti","42.0","20.0","22.0","-"
"India","6.0","3.0","3.0","-"
"Italy","D","D","D","-"
"Jamaica","D","-","D","-"
"Korea","5.0","D","D","-"
"Mexico","18.0","9.0","9.0","-"
"Morocco","4.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Peru","5.0","D","D","-"
"Philippines","5.0","D","D","-"
"United Kingdom","9.0","4.0","5.0","-"
"Vietnam","5.0","D","D","-"
"Other","29.0","10.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
