"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Spokane, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","705.0","294.0","411.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","93.0","37.0","56.0","-"
"25 to 34 years","158.0","74.0","84.0","-"
"35 to 44 years","188.0","69.0","119.0","-"
"45 to 54 years","151.0","66.0","85.0","-"
"55 to 64 years","75.0","32.0","43.0","-"
"65 years and over","40.0","16.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","143.0","69.0","74.0","-"
"Married","504.0","208.0","296.0","-"
"Other","58.0","17.0","41.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","51.0","27.0","24.0","-"
"Service occupations","86.0","27.0","59.0","-"
"Sales and office occupations","21.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","21.0","21.0","-","-"
"Production, transportation, and material moving occupations","43.0","28.0","15.0","-"
"Military","D","6.0","D","-"
"No occupation/not working outside home","89.0","37.0","52.0","-"
"Homemakers","7.0","-","7.0","-"
"Students or children","74.0","34.0","40.0","-"
"Retirees","D","3.0","D","-"
"Unemployed","D","-","D","-"
"Unknown","385.0","141.0","244.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","20.0","7.0","13.0","-"
"Bosnia and Herzegovina","26.0","15.0","11.0","-"
"Canada","39.0","22.0","17.0","-"
"China","17.0","9.0","8.0","-"
"Croatia","7.0","D","D","-"
"Germany","6.0","D","D","-"
"India","29.0","14.0","15.0","-"
"Kazakhstan","17.0","6.0","11.0","-"
"Korea","12.0","3.0","9.0","-"
"Kyrgyzstan","23.0","11.0","12.0","-"
"Mexico","35.0","17.0","18.0","-"
"Moldova","17.0","7.0","10.0","-"
"Philippines","30.0","10.0","20.0","-"
"Russia","84.0","38.0","46.0","-"
"Soviet Union (former)","6.0","D","D","-"
"Sudan","8.0","D","D","-"
"Ukraine","120.0","48.0","72.0","-"
"United Kingdom","10.0","4.0","6.0","-"
"Uzbekistan","16.0","7.0","9.0","-"
"Vietnam","65.0","18.0","47.0","-"
"Other","117.0","44.0","73.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
