"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Waco, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","275.0","125.0","150.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","33.0","11.0","22.0","-"
"25 to 34 years","68.0","29.0","39.0","-"
"35 to 44 years","72.0","33.0","39.0","-"
"45 to 54 years","57.0","30.0","27.0","-"
"55 to 64 years","32.0","14.0","18.0","-"
"65 years and over","13.0","8.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","41.0","16.0","25.0","-"
"Married","210.0","100.0","110.0","-"
"Other","24.0","9.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","20.0","10.0","10.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","D","-","D","-"
"No occupation/not working outside home","18.0","6.0","12.0","-"
"Homemakers","D","-","D","-"
"Students or children","11.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","218.0","98.0","120.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","-","D","-"
"Barbados","D","-","D","-"
"Cameroon","D","-","D","-"
"Canada","4.0","D","D","-"
"China","5.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Costa Rica","D","D","-","-"
"El Salvador","8.0","3.0","5.0","-"
"Germany","D","-","D","-"
"India","15.0","7.0","8.0","-"
"Jamaica","3.0","D","D","-"
"Korea","D","D","D","-"
"Mexico","184.0","88.0","96.0","-"
"Pakistan","8.0","4.0","4.0","-"
"Philippines","5.0","D","D","-"
"Romania","5.0","-","5.0","-"
"Russia","D","D","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","4.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","12.0","6.0","6.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
