"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Walla Walla, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","128.0","65.0","63.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","8.0","4.0","4.0","-"
"25 to 34 years","32.0","20.0","12.0","-"
"35 to 44 years","38.0","18.0","20.0","-"
"45 to 54 years","24.0","11.0","13.0","-"
"55 to 64 years","13.0","5.0","8.0","-"
"65 years and over","13.0","7.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","11.0","6.0","-"
"Married","99.0","50.0","49.0","-"
"Other","12.0","4.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","8.0","5.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","11.0","3.0","8.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","14.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","3.0","4.0","-"
"Homemakers","-","-","-","-"
"Students or children","D","3.0","D","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","71.0","36.0","35.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belgium","D","-","D","-"
"Burma","D","-","D","-"
"Canada","9.0","3.0","6.0","-"
"Chile","D","D","D","-"
"China","D","-","D","-"
"Costa Rica","D","D","-","-"
"El Salvador","4.0","D","D","-"
"Ethiopia","D","D","D","-"
"Germany","D","-","D","-"
"Laos","D","D","-","-"
"Mexico","78.0","45.0","33.0","-"
"Netherlands","D","D","-","-"
"New Zealand","4.0","D","D","-"
"Philippines","4.0","D","D","-"
"Poland","D","-","D","-"
"Romania","3.0","D","D","-"
"Russia","7.0","D","D","-"
"South Africa","D","D","-","-"
"Ukraine","D","D","D","-"
"United Kingdom","D","D","-","-"
"Other","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
