"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Wausau, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","110.0","59.0","51.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","18.0","10.0","8.0","-"
"25 to 34 years","35.0","17.0","18.0","-"
"35 to 44 years","26.0","14.0","12.0","-"
"45 to 54 years","19.0","12.0","7.0","-"
"55 to 64 years","D","6.0","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","24.0","D","D","-"
"Married","81.0","44.0","37.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","6.0","D","D","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","17.0","12.0","5.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","8.0","5.0","3.0","-"
"Homemakers","-","-","-","-"
"Students or children","8.0","5.0","3.0","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","67.0","32.0","35.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","D","D","-","-"
"China","D","D","-","-"
"Colombia","D","-","D","-"
"Germany","D","-","D","-"
"India","4.0","D","D","-"
"Iran","D","D","D","-"
"Jamaica","D","D","-","-"
"Laos","59.0","35.0","24.0","-"
"Mexico","3.0","D","D","-"
"Nigeria","D","D","-","-"
"Panama","D","D","D","-"
"Poland","D","-","D","-"
"South Africa","3.0","D","D","-"
"Taiwan","D","D","D","-"
"Thailand","27.0","12.0","15.0","-"
"Venezuela","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
