"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Boise City-Nampa, ID","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1188.0","522.0","666.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","132.0","52.0","80.0","-"
"25 to 34 years","279.0","111.0","168.0","-"
"35 to 44 years","381.0","172.0","209.0","-"
"45 to 54 years","227.0","107.0","120.0","-"
"55 to 64 years","110.0","56.0","54.0","-"
"65 years and over","59.0","24.0","35.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","203.0","101.0","102.0","-"
"Married","862.0","388.0","474.0","-"
"Other","123.0","33.0","90.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","113.0","56.0","57.0","-"
"Service occupations","154.0","43.0","111.0","-"
"Sales and office occupations","58.0","15.0","43.0","-"
"Farming, fishing, and forestry occupations","9.0","9.0","-","-"
"Construction, extraction, maintenance and repair occupations","19.0","19.0","-","-"
"Production, transportation, and material moving occupations","123.0","81.0","42.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","71.0","21.0","50.0","-"
"Homemakers","14.0","-","14.0","-"
"Students or children","46.0","17.0","29.0","-"
"Retirees","6.0","D","D","-"
"Unemployed","5.0","D","D","-"
"Unknown","641.0","278.0","363.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","22.0","8.0","14.0","-"
"Bosnia and Herzegovina","140.0","61.0","79.0","-"
"Canada","22.0","8.0","14.0","-"
"China","42.0","15.0","27.0","-"
"Croatia","13.0","10.0","3.0","-"
"El Salvador","12.0","D","D","-"
"Germany","10.0","D","D","-"
"Guatemala","10.0","5.0","5.0","-"
"India","27.0","15.0","12.0","-"
"Iraq","14.0","11.0","3.0","-"
"Laos","30.0","13.0","17.0","-"
"Mexico","459.0","225.0","234.0","-"
"Philippines","28.0","5.0","23.0","-"
"Romania","20.0","5.0","15.0","-"
"Russia","12.0","4.0","8.0","-"
"Serbia and Montenegro","13.0","7.0","6.0","-"
"Thailand","11.0","5.0","6.0","-"
"Ukraine","48.0","25.0","23.0","-"
"United Kingdom","19.0","7.0","12.0","-"
"Vietnam","49.0","19.0","30.0","-"
"Other","187.0","68.0","119.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
