"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Boston-Cambridge-Quincy, MA-NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","22860.0","10091.0","12769.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","1815.0","770.0","1045.0","-"
"25 to 34 years","5463.0","2223.0","3240.0","-"
"35 to 44 years","6893.0","3232.0","3661.0","-"
"45 to 54 years","4472.0","2046.0","2426.0","-"
"55 to 64 years","2506.0","1098.0","1408.0","-"
"65 years and over","1711.0","722.0","989.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","5736.0","2566.0","3170.0","-"
"Married","14196.0","6527.0","7669.0","-"
"Other","2928.0","998.0","1930.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1205.0","646.0","559.0","-"
"Service occupations","D","D","22.0","-"
"Sales and office occupations","60.0","29.0","31.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","45.0","45.0","-","-"
"Production, transportation, and material moving occupations","365.0","238.0","127.0","-"
"Military","57.0","45.0","12.0","-"
"No occupation/not working outside home","1520.0","584.0","936.0","-"
"Homemakers","98.0","5.0","93.0","-"
"Students or children","1024.0","420.0","604.0","-"
"Retirees","193.0","88.0","105.0","-"
"Unemployed","205.0","71.0","134.0","-"
"Unknown","19570.0","8488.0","11082.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","274.0","135.0","139.0","-"
"Brazil","926.0","374.0","552.0","-"
"Cambodia","807.0","338.0","469.0","-"
"Canada","317.0","139.0","178.0","-"
"Cape Verde","726.0","306.0","420.0","-"
"China","1540.0","676.0","864.0","-"
"Colombia","452.0","179.0","273.0","-"
"Dominican Republic","3414.0","1395.0","2019.0","-"
"El Salvador","712.0","327.0","385.0","-"
"Guatemala","434.0","215.0","219.0","-"
"Haiti","1908.0","800.0","1108.0","-"
"Honduras","243.0","86.0","157.0","-"
"India","1256.0","629.0","627.0","-"
"Jamaica","405.0","154.0","251.0","-"
"Morocco","403.0","252.0","151.0","-"
"Philippines","256.0","76.0","180.0","-"
"Portugal","288.0","133.0","155.0","-"
"Russia","393.0","170.0","223.0","-"
"United Kingdom","361.0","204.0","157.0","-"
"Vietnam","1103.0","434.0","669.0","-"
"Other","6641.0","3068.0","3573.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
