"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Cape Coral-Fort Myers, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2172.0","943.0","1229.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","178.0","70.0","108.0","-"
"25 to 34 years","511.0","199.0","312.0","-"
"35 to 44 years","716.0","323.0","393.0","-"
"45 to 54 years","412.0","190.0","222.0","-"
"55 to 64 years","233.0","113.0","120.0","-"
"65 years and over","122.0","48.0","74.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","372.0","162.0","210.0","-"
"Married","1488.0","673.0","815.0","-"
"Other","312.0","108.0","204.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","98.0","50.0","48.0","-"
"Service occupations","24.0","4.0","20.0","-"
"Sales and office occupations","52.0","18.0","34.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","14.0","D","D","-"
"Production, transportation, and material moving occupations","33.0","28.0","5.0","-"
"Military","8.0","D","D","-"
"No occupation/not working outside home","122.0","35.0","87.0","-"
"Homemakers","20.0","-","20.0","-"
"Students or children","76.0","26.0","50.0","-"
"Retirees","18.0","D","D","-"
"Unemployed","8.0","D","D","-"
"Unknown","1821.0","790.0","1031.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","36.0","10.0","26.0","-"
"Canada","51.0","18.0","33.0","-"
"Colombia","128.0","45.0","83.0","-"
"Cuba","540.0","259.0","281.0","-"
"Dominican Republic","87.0","33.0","54.0","-"
"Ecuador","42.0","20.0","22.0","-"
"El Salvador","21.0","9.0","12.0","-"
"Germany","44.0","17.0","27.0","-"
"Guyana","32.0","18.0","14.0","-"
"Haiti","288.0","123.0","165.0","-"
"Honduras","46.0","21.0","25.0","-"
"India","22.0","14.0","8.0","-"
"Jamaica","67.0","26.0","41.0","-"
"Mexico","167.0","83.0","84.0","-"
"Nicaragua","77.0","35.0","42.0","-"
"Peru","45.0","12.0","33.0","-"
"Philippines","33.0","8.0","25.0","-"
"United Kingdom","34.0","15.0","19.0","-"
"Venezuela","28.0","8.0","20.0","-"
"Vietnam","26.0","8.0","18.0","-"
"Other","354.0","160.0","194.0","-"
"Unknown","4.0","1.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
