"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Champaign-Urbana, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","256.0","111.0","145.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","22.0","9.0","13.0","-"
"25 to 34 years","73.0","30.0","43.0","-"
"35 to 44 years","82.0","36.0","46.0","-"
"45 to 54 years","46.0","20.0","26.0","-"
"55 to 64 years","24.0","11.0","13.0","-"
"65 years and over","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","61.0","30.0","31.0","-"
"Married","173.0","74.0","99.0","-"
"Other","22.0","7.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","57.0","34.0","23.0","-"
"Service occupations","10.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","11.0","8.0","3.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","48.0","16.0","32.0","-"
"Homemakers","D","-","D","-"
"Students or children","42.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","122.0","45.0","77.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","5.0","D","D","-"
"China","25.0","12.0","13.0","-"
"Colombia","4.0","D","D","-"
"Egypt","7.0","D","D","-"
"India","27.0","15.0","12.0","-"
"Iran","7.0","D","D","-"
"Korea","9.0","3.0","6.0","-"
"Laos","6.0","D","D","-"
"Liberia","5.0","D","D","-"
"Mexico","15.0","6.0","9.0","-"
"Morocco","5.0","D","D","-"
"Nigeria","5.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Peru","5.0","D","D","-"
"Philippines","15.0","-","15.0","-"
"Poland","5.0","D","D","-"
"Russia","6.0","D","D","-"
"Taiwan","5.0","D","D","-"
"Thailand","4.0","D","D","-"
"Vietnam","17.0","3.0","14.0","-"
"Other","75.0","36.0","39.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
