"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Albany-Schenectady-Troy, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1185.0","556.0","629.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","107.0","53.0","54.0","-"
"25 to 34 years","296.0","116.0","180.0","-"
"35 to 44 years","397.0","202.0","195.0","-"
"45 to 54 years","242.0","121.0","121.0","-"
"55 to 64 years","85.0","40.0","45.0","-"
"65 years and over","58.0","24.0","34.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","217.0","118.0","99.0","-"
"Married","868.0","403.0","465.0","-"
"Other","100.0","35.0","65.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","84.0","49.0","35.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","12.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","15.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","85.0","40.0","45.0","-"
"Homemakers","D","-","D","-"
"Students or children","59.0","34.0","25.0","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","D","-"
"Unknown","984.0","443.0","541.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","18.0","8.0","10.0","-"
"Albania","13.0","7.0","6.0","-"
"Bangladesh","16.0","11.0","5.0","-"
"Canada","19.0","11.0","8.0","-"
"China","61.0","32.0","29.0","-"
"Colombia","13.0","6.0","7.0","-"
"Dominican Republic","27.0","12.0","15.0","-"
"Guyana","190.0","81.0","109.0","-"
"India","135.0","68.0","67.0","-"
"Jamaica","40.0","15.0","25.0","-"
"Mexico","16.0","9.0","7.0","-"
"Moldova","19.0","10.0","9.0","-"
"Pakistan","71.0","40.0","31.0","-"
"Philippines","36.0","12.0","24.0","-"
"Poland","23.0","7.0","16.0","-"
"Russia","33.0","19.0","14.0","-"
"Sudan","17.0","11.0","6.0","-"
"Ukraine","27.0","12.0","15.0","-"
"United Kingdom","24.0","12.0","12.0","-"
"Vietnam","27.0","11.0","16.0","-"
"Other","360.0","162.0","198.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
