"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Clovis, NM","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","59.0","25.0","34.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","18.0","7.0","11.0","-"
"25 to 34 years","16.0","6.0","10.0","-"
"35 to 44 years","10.0","4.0","6.0","-"
"45 to 54 years","8.0","D","D","-"
"55 to 64 years","3.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","22.0","D","D","-"
"Married","32.0","15.0","17.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","-","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","13.0","9.0","4.0","-"
"No occupation/not working outside home","D","-","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","39.0","16.0","23.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","D","-"
"Canada","D","D","-","-"
"El Salvador","D","D","-","-"
"Ethiopia","D","-","D","-"
"Ghana","D","D","-","-"
"India","D","D","D","-"
"Jamaica","D","-","D","-"
"Laos","3.0","D","D","-"
"Mexico","36.0","13.0","23.0","-"
"Nicaragua","D","-","D","-"
"Panama","D","-","D","-"
"Philippines","7.0","D","D","-"
"Thailand","D","D","-","-"
"Vietnam","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
