"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Albuquerque, NM","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1759.0","729.0","1030.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","157.0","61.0","96.0","-"
"25 to 34 years","399.0","165.0","234.0","-"
"35 to 44 years","513.0","207.0","306.0","-"
"45 to 54 years","328.0","117.0","211.0","-"
"55 to 64 years","230.0","110.0","120.0","-"
"65 years and over","132.0","69.0","63.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","332.0","147.0","185.0","-"
"Married","1169.0","509.0","660.0","-"
"Other","258.0","73.0","185.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","80.0","37.0","43.0","-"
"Service occupations","11.0","D","D","-"
"Sales and office occupations","15.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","9.0","9.0","-","-"
"Production, transportation, and material moving occupations","37.0","27.0","10.0","-"
"Military","13.0","9.0","4.0","-"
"No occupation/not working outside home","153.0","47.0","106.0","-"
"Homemakers","25.0","D","D","-"
"Students or children","100.0","35.0","65.0","-"
"Retirees","19.0","D","D","-"
"Unemployed","9.0","D","D","-"
"Unknown","1441.0","595.0","846.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","18.0","7.0","11.0","-"
"Canada","23.0","8.0","15.0","-"
"China","38.0","13.0","25.0","-"
"Colombia","36.0","12.0","24.0","-"
"Cuba","70.0","33.0","37.0","-"
"El Salvador","13.0","3.0","10.0","-"
"Germany","13.0","5.0","8.0","-"
"Guatemala","22.0","11.0","11.0","-"
"India","28.0","15.0","13.0","-"
"Iran","14.0","6.0","8.0","-"
"Iraq","18.0","8.0","10.0","-"
"Mexico","975.0","411.0","564.0","-"
"Pakistan","18.0","10.0","8.0","-"
"Peru","14.0","5.0","9.0","-"
"Philippines","33.0","10.0","23.0","-"
"Russia","13.0","4.0","9.0","-"
"Taiwan","13.0","3.0","10.0","-"
"Ukraine","16.0","5.0","11.0","-"
"United Kingdom","14.0","7.0","7.0","-"
"Vietnam","125.0","47.0","78.0","-"
"Other","242.0","104.0","138.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
