"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Dayton, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","627.0","247.0","380.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","54.0","26.0","28.0","-"
"25 to 34 years","136.0","39.0","97.0","-"
"35 to 44 years","202.0","81.0","121.0","-"
"45 to 54 years","129.0","66.0","63.0","-"
"55 to 64 years","76.0","25.0","51.0","-"
"65 years and over","30.0","10.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","107.0","52.0","55.0","-"
"Married","481.0","183.0","298.0","-"
"Other","39.0","12.0","27.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","127.0","72.0","55.0","-"
"Service occupations","52.0","18.0","34.0","-"
"Sales and office occupations","30.0","6.0","24.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","25.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","83.0","21.0","62.0","-"
"Homemakers","D","-","D","-"
"Students or children","71.0","21.0","50.0","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","306.0","109.0","197.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Algeria","7.0","4.0","3.0","-"
"Canada","22.0","5.0","17.0","-"
"China","33.0","13.0","20.0","-"
"India","147.0","65.0","82.0","-"
"Iran","10.0","5.0","5.0","-"
"Iraq","7.0","D","D","-"
"Jamaica","6.0","D","D","-"
"Jordan","6.0","D","D","-"
"Korea","21.0","9.0","12.0","-"
"Mexico","29.0","10.0","19.0","-"
"Nigeria","14.0","8.0","6.0","-"
"Pakistan","14.0","5.0","9.0","-"
"Philippines","39.0","6.0","33.0","-"
"Poland","8.0","3.0","5.0","-"
"Russia","9.0","D","D","-"
"Sudan","9.0","D","D","-"
"Taiwan","15.0","7.0","8.0","-"
"Thailand","12.0","D","D","-"
"United Kingdom","17.0","9.0","8.0","-"
"Vietnam","35.0","15.0","20.0","-"
"Other","167.0","65.0","102.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
