"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Decatur, AL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","53.0","20.0","33.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","D","D","-"
"25 to 34 years","14.0","5.0","9.0","-"
"35 to 44 years","16.0","5.0","11.0","-"
"45 to 54 years","D","D","D","-"
"55 to 64 years","6.0","3.0","3.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","6.0","D","D","-"
"Married","43.0","16.0","27.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","-","D","-"
"Homemakers","3.0","-","3.0","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","41.0","15.0","26.0","-"
"","","","",""
"Leading countries of birth","","","",""
"El Salvador","D","D","D","-"
"Germany","D","D","D","-"
"India","4.0","D","D","-"
"Kazakhstan","D","-","D","-"
"Korea","D","-","D","-"
"Kuwait","D","D","-","-"
"Mexico","28.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","3.0","-","3.0","-"
"Russia","D","-","D","-"
"South Africa","D","D","-","-"
"Thailand","D","-","D","-"
"Ukraine","D","-","D","-"
"United Kingdom","D","D","D","-"
"Yemen","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
