"Persons Naturalized During Fiscal Year 2008","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Deltona-Daytona Beach-Ormond Beach, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","196.0","93.0","103.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","8.0","3.0","5.0","-"
"25 to 34 years","57.0","23.0","34.0","-"
"35 to 44 years","60.0","30.0","30.0","-"
"45 to 54 years","26.0","15.0","11.0","-"
"55 to 64 years","23.0","11.0","12.0","-"
"65 years and over","22.0","11.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28.0","12.0","16.0","-"
"Married","131.0","66.0","65.0","-"
"Other","37.0","15.0","22.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","D","D","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","3.0","D","D","-"
"No occupation/not working outside home","12.0","3.0","9.0","-"
"Homemakers","D","-","D","-"
"Students or children","8.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","-","-","-","-"
"Unknown","152.0","75.0","77.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","3.0","3.0","-","-"
"Bahamas, The","4.0","D","D","-"
"Bangladesh","4.0","D","D","-"
"Canada","15.0","8.0","7.0","-"
"Colombia","7.0","D","D","-"
"Cuba","7.0","3.0","4.0","-"
"Dominican Republic","11.0","7.0","4.0","-"
"Ecuador","3.0","D","D","-"
"Egypt","4.0","D","D","-"
"Germany","3.0","D","D","-"
"Guatemala","3.0","D","D","-"
"Honduras","4.0","D","D","-"
"India","5.0","D","D","-"
"Jamaica","13.0","5.0","8.0","-"
"Mexico","18.0","6.0","12.0","-"
"Nicaragua","4.0","D","D","-"
"Philippines","4.0","D","D","-"
"Russia","5.0","D","D","-"
"Trinidad and Tobago","4.0","D","D","-"
"United Kingdom","11.0","D","D","-"
"Other","63.0","29.0","34.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
