"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Flagstaff, AZ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","78.0","36.0","42.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","5.0","D","-"
"25 to 34 years","16.0","5.0","11.0","-"
"35 to 44 years","26.0","11.0","15.0","-"
"45 to 54 years","19.0","11.0","8.0","-"
"55 to 64 years","8.0","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","8.0","D","D","-"
"Married","61.0","27.0","34.0","-"
"Other","9.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","20.0","10.0","10.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","8.0","8.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","18.0","9.0","9.0","-"
"Homemakers","D","-","D","-"
"Students or children","14.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","-","-","-","-"
"Unknown","22.0","5.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belgium","D","D","-","-"
"Brazil","D","D","D","-"
"Brunei","D","-","D","-"
"Canada","D","D","-","-"
"China","3.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Czechoslovakia (former)","D","-","D","-"
"El Salvador","D","-","D","-"
"Germany","3.0","D","D","-"
"Guatemala","D","-","D","-"
"India","9.0","D","D","-"
"Iran","D","D","-","-"
"Jamaica","D","D","-","-"
"Korea, South","D","D","D","-"
"Mexico","32.0","16.0","16.0","-"
"Netherlands","D","-","D","-"
"New Zealand","D","D","-","-"
"Nigeria","D","D","D","-"
"Peru","3.0","D","D","-"
"United Kingdom","D","D","D","-"
"Other","6.0","2.0","4.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
