"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Florence, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","87.0","41.0","46.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","8.0","4.0","4.0","-"
"25 to 34 years","16.0","9.0","7.0","-"
"35 to 44 years","33.0","12.0","21.0","-"
"45 to 54 years","21.0","12.0","9.0","-"
"55 to 64 years","4.0","D","D","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","8.0","10.0","-"
"Married","58.0","28.0","30.0","-"
"Other","11.0","5.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","27.0","14.0","13.0","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","4.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","3.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","37.0","20.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","7.0","3.0","4.0","-"
"China","5.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Dominican Republic","D","-","D","-"
"Egypt","D","D","-","-"
"Ethiopia","D","-","D","-"
"Germany","D","-","D","-"
"Honduras","D","-","D","-"
"Hungary","D","D","-","-"
"India","20.0","11.0","9.0","-"
"Jamaica","5.0","D","D","-"
"Korea, South","D","D","D","-"
"Mexico","D","D","-","-"
"Pakistan","4.0","D","D","-"
"Philippines","11.0","5.0","6.0","-"
"South Africa","3.0","D","D","-"
"Taiwan","D","D","D","-"
"Thailand","D","-","D","-"
"United Kingdom","3.0","3.0","-","-"
"Vietnam","3.0","-","3.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
