"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Gainesville, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","412.0","195.0","217.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","64.0","30.0","34.0","-"
"25 to 34 years","93.0","39.0","54.0","-"
"35 to 44 years","127.0","59.0","68.0","-"
"45 to 54 years","66.0","30.0","36.0","-"
"55 to 64 years","39.0","22.0","17.0","-"
"65 years and over","23.0","15.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","97.0","50.0","47.0","-"
"Married","264.0","130.0","134.0","-"
"Other","51.0","15.0","36.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","75.0","34.0","41.0","-"
"Service occupations","18.0","5.0","13.0","-"
"Sales and office occupations","20.0","8.0","12.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","8.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","89.0","41.0","48.0","-"
"Homemakers","D","-","D","-"
"Students or children","75.0","36.0","39.0","-"
"Retirees","D","D","-","-"
"Unemployed","3.0","D","D","-"
"Unknown","198.0","99.0","99.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","6.0","D","D","-"
"Brazil","10.0","D","D","-"
"Canada","9.0","3.0","6.0","-"
"China","26.0","16.0","10.0","-"
"Colombia","20.0","8.0","12.0","-"
"Cuba","20.0","8.0","12.0","-"
"Dominican Republic","6.0","6.0","-","-"
"Egypt","7.0","3.0","4.0","-"
"Haiti","9.0","4.0","5.0","-"
"India","41.0","21.0","20.0","-"
"Iran","8.0","3.0","5.0","-"
"Jamaica","11.0","4.0","7.0","-"
"Mexico","8.0","8.0","-","-"
"Peru","8.0","3.0","5.0","-"
"Philippines","43.0","19.0","24.0","-"
"Romania","7.0","D","D","-"
"Russia","11.0","6.0","5.0","-"
"South Africa","8.0","D","D","-"
"Venezuela","12.0","3.0","9.0","-"
"Vietnam","15.0","4.0","11.0","-"
"Other","125.0","61.0","64.0","-"
"Unknown","2.0","-","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
